SessionID,UserID,UserName,StepIndex,InteractionType,ObjectName,RelativeTime,StartTime,EndTime,Duration,InteractionInterval,ObjectPosX,ObjectPosY,ObjectPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW,GazeDirX,GazeDirY,GazeDirZ,DistanceToObject,HeadVelocity,LeftHandVelocity,RightHandVelocity,SpeedTier
6943,1,Abbey,0,GazeExit,Eyetarget9,0,-0.132492,0,0.132492,0,0.6,1.65,1.52,0.131414,1.76073,-0.015224,0.054428,0.15411,0.0071,0.986528,0,0,0,0,0,0,1,0.404885,-0.147774,0.122327,-0.660559,0.334144,0.444384,0.504512,0.30484,-0.105201,0.946576,1.608958,6.475907,17.22244,30.85394,fast
6943,1,Abbey,1,GazeExit,Eyetarget9,1.499603,0.867416,1.499603,0.632187,0,0.6,1.65,1.52,0.150158,1.764166,-0.005082,0.035249,0.161767,0.010266,0.986146,0,0,0,0,0,0,1,0.422403,-0.14364,0.134976,-0.66036,0.352261,0.438327,0.497701,0.319775,-0.0662,0.945178,1.594135,0.651495,13.52134,0.663929,medium
6943,1,Abbey,2,GazeExit,Eyetarget9,3.200745,2.434113,3.200745,0.766632,1.701141,0.6,1.65,1.52,0.135062,1.758455,-0.003544,0.054311,0.136794,0.011646,0.989041,0,0,0,0,0,0,1,0.384819,-0.148733,0.141453,-0.685852,0.285782,0.450347,0.495101,0.271855,-0.104245,0.956676,1.596595,0.523224,15.04308,1.241741,medium
6943,1,Abbey,3,GazeExit,Eyetarget9,4.067062,3.367737,4.067062,0.699326,0.866318,0.6,1.65,1.52,0.132005,1.767197,-0.008068,0.021325,0.143412,0.021399,0.989202,0,0,0,0,0,0,1,0.305351,-0.170588,0.143726,-0.727539,0.197521,0.351664,0.554982,0.28464,-0.036052,0.957956,1.602419,0.306475,12.96872,2.451682,slow
6943,1,Abbey,4,GazeExit,EyeTarget10,4.466965,4.433228,4.466965,0.033737,0.399902,0.23,2.02,1.52,0.108016,1.792288,-0.013108,-0.097088,0.012118,0.009089,0.995161,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.022354,0.193456,0.980854,1.554719,1.039634,11.20766,11.20766,medium
6943,1,Abbey,5,GazeExit,EyeTarget1,4.966324,4.899216,4.966324,0.067108,0.499359,-0.37,2.16,1.52,0.078631,1.79265,-0.03411,-0.109571,-0.172534,0.022786,0.978625,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.342686,0.206595,0.916453,1.658757,1.067589,0,0,medium
6943,1,Abbey,6,GazeExit,EyeTarget1,5.539063,5.500854,5.539063,0.038208,0.572739,-0.37,2.16,1.52,0.096124,1.793251,-0.032045,-0.121494,-0.076615,0.020493,0.989419,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.156588,0.237277,0.958739,1.661512,0.461287,0,0,medium
6943,1,Abbey,7,GazeExit,EyeTarget1,7.6996,7.666061,7.6996,0.033539,2.160538,-0.37,2.16,1.52,0.090778,1.794375,-0.044011,-0.114785,-0.082438,0.027391,0.989585,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.169448,0.222663,0.960057,1.670966,0.392193,0,0,slow
6943,1,Abbey,8,GazeExit,EyeTarget10,7.967133,7.932602,7.967133,0.034531,0.267532,0.23,2.02,1.52,0.122465,1.779483,-0.034369,-0.052053,0.071706,0.019828,0.995869,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.140755,0.106519,0.984298,1.576539,1.051822,0,0,medium
6943,1,Abbey,9,GazeExit,Eyetarget9,11.30066,10.96606,11.30066,0.334595,3.333527,0.6,1.65,1.52,0.147137,1.766,-0.002508,0.022154,0.157447,0.010779,0.98722,0,0,0,0,0,0,1,0.302359,-0.210442,0.134415,-0.666573,0.231446,0.364422,0.60771,0.311348,-0.040347,0.949439,1.592662,1.272132,0,11.73974,fast
6943,1,Abbey,10,GazeExit,Eyetarget9,11.86708,11.5336,11.86708,0.333481,0.566422,0.6,1.65,1.52,0.138563,1.756872,-0.002528,0.050538,0.123117,0.008494,0.991068,0,0,0,0,0,0,1,0.311179,-0.200825,0.130833,-0.631506,0.266583,0.366283,0.629262,0.244892,-0.098082,0.964576,1.594502,0.373012,11.68064,0.403061,slow
6943,1,Abbey,11,GazeExit,Eyetarget9,11.99992,11.96849,11.99992,0.031433,0.132843,0.6,1.65,1.52,0.142246,1.767846,-0.002905,0.022308,0.133726,0.012604,0.990687,0,0,0,0,0,0,1,0.309178,-0.20081,0.130399,-0.648292,0.255728,0.355207,0.623016,0.265523,-0.040829,0.96324,1.594574,0.368425,12.49571,0.065132,slow
6943,1,Abbey,12,GazeExit,Eyetarget9,12.77072,12.66721,12.77072,0.103516,0.770798,0.6,1.65,1.52,0.13292,1.769305,-0.021679,0.015252,0.13772,0.012397,0.990276,0,0,0,0,0,0,1,0.345823,-0.043431,0.169312,-0.719224,0.20865,0.477652,0.459382,0.273139,-0.026793,0.961601,1.615293,0.599085,11.14867,4.738544,medium
